generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
0,4317.0,5,4795.5,4317.0,5
1,3997.0,5,4428.75,3997.0,5
2,3978.0,5,4322.2,3978.0,5
3,3951.0,5,4271.7,3951.0,5
4,3893.0,5,4257.99,3893.0,5
5,3890.0,5,4155.66,3890.0,5
6,3890.0,5,4107.38,3890.0,5
7,3890.0,5,4080.1,3890.0,5
8,3890.0,5,4063.4,3890.0,5
9,3879.0,5,4043.65,3879.0,5
10,3879.0,5,4029.75,3879.0,5
11,3879.0,5,4021.18,3879.0,5
12,3879.0,5,4008.11,3879.0,5
13,3879.0,5,4002.78,3879.0,5
14,3879.0,5,3998.39,3879.0,5
15,3879.0,5,3995.88,3879.0,5
16,3869.0,5,3989.5,3869.0,5
17,3869.0,5,3987.28,3869.0,5
18,3869.0,5,3981.49,3869.0,5
19,3869.0,5,3978.39,3869.0,5
20,3869.0,5,3974.92,3869.0,5
21,3869.0,5,3970.37,3869.0,5
22,3869.0,5,3965.94,3869.0,5
23,3839.0,5,3959.15,3839.0,5
24,3839.0,5,3951.36,3839.0,5
25,3765.0,5,3944.75,3765.0,5
26,3765.0,5,3937.1,3765.0,5
27,3765.0,5,3924.0,3765.0,5
28,3731.0,5,3910.7,3731.0,5
29,3727.0,5,3889.77,3727.0,5
30,3727.0,5,3883.4,3727.0,5
31,3727.0,5,3873.5,3727.0,5
32,3727.0,5,3867.29,3727.0,5
33,3719.0,5,3863.24,3719.0,5
34,3699.0,5,3852.42,3699.0,5
35,3699.0,5,3846.31,3699.0,5
36,3699.0,5,3841.12,3699.0,5
37,3699.0,5,3838.27,3699.0,5
38,3699.0,5,3834.76,3699.0,5
39,3699.0,5,3830.45,3699.0,5
40,3699.0,5,3827.19,3699.0,5
41,3699.0,5,3825.76,3699.0,5
42,3686.0,5,3819.41,3686.0,5
