generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
0,4317.0,5,4795.5,4317.0,5
1,3997.0,5,4428.75,3997.0,5
2,3978.0,5,4322.2,3978.0,5
3,3951.0,5,4271.7,3951.0,5
4,3893.0,5,4257.99,3893.0,5
5,3890.0,5,4155.66,3890.0,5
6,3890.0,5,4107.38,3890.0,5
7,3890.0,5,4080.1,3890.0,5
8,3890.0,5,4063.4,3890.0,5
9,3879.0,5,4043.65,3879.0,5
10,3879.0,5,4029.75,3879.0,5
11,3879.0,5,4021.18,3879.0,5
12,3879.0,5,4008.11,3879.0,5
13,3879.0,5,4002.78,3879.0,5
14,3879.0,5,3998.39,3879.0,5
15,3879.0,5,3995.88,3879.0,5
16,3869.0,5,3989.5,3869.0,5
17,3869.0,5,3987.28,3869.0,5
18,3869.0,5,3981.49,3869.0,5
19,3869.0,5,3978.39,3869.0,5
20,3869.0,5,3974.92,3869.0,5
21,3869.0,5,3970.37,3869.0,5
22,3869.0,5,3965.94,3869.0,5
23,3839.0,5,3959.15,3839.0,5
24,3839.0,5,3951.36,3839.0,5
25,3765.0,5,3944.75,3765.0,5
26,3765.0,5,3937.1,3765.0,5
27,3765.0,5,3924.0,3765.0,5
28,3731.0,5,3910.7,3731.0,5
29,3727.0,5,3889.77,3727.0,5
30,3727.0,5,3883.4,3727.0,5
31,3727.0,5,3873.5,3727.0,5
32,3727.0,5,3867.29,3727.0,5
33,3719.0,5,3863.24,3719.0,5
34,3699.0,5,3852.42,3699.0,5
35,3699.0,5,3846.31,3699.0,5
36,3699.0,5,3841.12,3699.0,5
37,3699.0,5,3838.27,3699.0,5
38,3699.0,5,3834.76,3699.0,5
39,3699.0,5,3830.45,3699.0,5
40,3699.0,5,3827.19,3699.0,5
41,3699.0,5,3825.76,3699.0,5
42,3686.0,5,3819.41,3686.0,5
43,3686.0,5,3816.97,3686.0,5
44,3686.0,5,3812.87,3686.0,5
45,3686.0,5,3809.92,3686.0,5
46,3686.0,5,3809.46,3686.0,5
47,3686.0,5,3806.2,3686.0,5
48,3686.0,5,3803.37,3686.0,5
49,3686.0,5,3799.2,3686.0,5
50,3686.0,5,3798.22,3686.0,5
51,3686.0,5,3795.08,3686.0,5
52,3686.0,5,3794.85,3686.0,5
53,3686.0,5,3793.73,3686.0,5
54,3686.0,5,3789.46,3686.0,5
55,3686.0,5,3787.21,3686.0,5
56,3686.0,5,3787.09,3686.0,5
57,3686.0,5,3784.71,3686.0,5
58,3686.0,5,3784.38,3686.0,5
59,3686.0,5,3780.58,3686.0,5
60,3686.0,5,3777.87,3686.0,5
61,3686.0,5,3775.21,3686.0,5
62,3686.0,5,3770.09,3686.0,5
63,3686.0,5,3767.22,3686.0,5
64,3686.0,5,3764.73,3686.0,5
65,3686.0,5,3762.85,3686.0,5
66,3686.0,5,3761.02,3686.0,5
67,3686.0,5,3760.55,3686.0,5
68,3686.0,5,3760.46,3686.0,5
69,3686.0,5,3759.21,3686.0,5
70,3686.0,5,3757.8,3686.0,5
71,3686.0,5,3756.94,3686.0,5
72,3686.0,5,3756.16,3686.0,5
73,3686.0,5,3754.62,3686.0,5
74,3686.0,5,3753.21,3686.0,5
75,3686.0,5,3751.96,3686.0,5
76,3686.0,5,3751.37,3686.0,5
77,3686.0,5,3750.27,3686.0,5
78,3686.0,5,3749.13,3686.0,5
79,3686.0,5,3748.12,3686.0,5
80,3686.0,5,3748.12,3686.0,5
81,3686.0,5,3746.96,3686.0,5
82,3686.0,5,3746.12,3686.0,5
83,3686.0,5,3746.12,3686.0,5
84,3686.0,5,3746.12,3686.0,5
85,3686.0,5,3746.04,3686.0,5
86,3686.0,5,3745.08,3686.0,5
87,3686.0,5,3744.87,3686.0,5
88,3686.0,5,3744.87,3686.0,5
89,3686.0,5,3743.2,3686.0,5
90,3686.0,5,3740.24,3686.0,5
91,3686.0,5,3739.62,3686.0,5
92,3686.0,5,3739.62,3686.0,5
93,3686.0,5,3738.53,3686.0,5
94,3686.0,5,3738.52,3686.0,5
95,3686.0,5,3737.82,3686.0,5
96,3686.0,5,3736.66,3686.0,5
97,3686.0,5,3736.66,3686.0,5
98,3686.0,5,3735.66,3686.0,5
99,3686.0,5,3734.88,3686.0,5
100,3686.0,5,3734.88,3686.0,5
101,3954.0,5,4454.86,3686.0,5
102,3892.0,5,4278.33,3686.0,5
103,3708.0,5,4199.01,3686.0,5
104,3708.0,5,4158.84,3686.0,5
105,3686.0,5,4155.96,3686.0,5
106,3686.0,5,4071.58,3686.0,5
107,3686.0,5,3964.91,3686.0,5
108,3686.0,5,3914.19,3686.0,5
109,3686.0,5,3894.07,3686.0,5
110,3686.0,5,3867.66,3686.0,5
111,3632.0,5,3851.39,3632.0,5
112,3632.0,5,3834.45,3632.0,5
113,3632.0,5,3815.09,3632.0,5
114,3632.0,5,3793.6,3632.0,5
115,3632.0,5,3779.52,3632.0,5
116,3632.0,5,3771.44,3632.0,5
117,3632.0,5,3760.24,3632.0,5
118,3632.0,5,3753.5,3632.0,5
119,3632.0,5,3747.38,3632.0,5
120,3632.0,5,3743.57,3632.0,5
121,3632.0,5,3736.82,3632.0,5
122,3632.0,5,3730.04,3632.0,5
123,3632.0,5,3724.53,3632.0,5
124,3632.0,5,3721.33,3632.0,5
125,3632.0,5,3718.61,3632.0,5
126,3632.0,5,3716.8,3632.0,5
127,3632.0,5,3716.74,3632.0,5
128,3632.0,5,3715.13,3632.0,5
129,3632.0,5,3714.14,3632.0,5
130,3632.0,5,3713.27,3632.0,5
131,3628.0,5,3711.23,3628.0,5
132,3628.0,5,3709.95,3628.0,5
133,3628.0,5,3708.68,3628.0,5
134,3628.0,5,3708.6,3628.0,5
135,3628.0,5,3707.94,3628.0,5
136,3628.0,5,3707.36,3628.0,5
137,3628.0,5,3706.41,3628.0,5
138,3628.0,5,3705.37,3628.0,5
139,3628.0,5,3705.07,3628.0,5
140,3628.0,5,3703.99,3628.0,5
141,3628.0,5,3702.6,3628.0,5
142,3628.0,5,3701.09,3628.0,5
143,3628.0,5,3700.62,3628.0,5
144,3628.0,5,3699.56,3628.0,5
145,3628.0,5,3698.66,3628.0,5
146,3628.0,5,3698.31,3628.0,5
147,3628.0,5,3698.17,3628.0,5
148,3628.0,5,3697.67,3628.0,5
149,3628.0,5,3697.3,3628.0,5
150,3628.0,5,3696.94,3628.0,5
151,3628.0,5,3696.64,3628.0,5
152,3628.0,5,3695.98,3628.0,5
153,3628.0,5,3695.98,3628.0,5
154,3628.0,5,3694.36,3628.0,5
155,3628.0,5,3693.94,3628.0,5
156,3628.0,5,3692.74,3628.0,5
157,3628.0,5,3692.33,3628.0,5
158,3628.0,5,3692.33,3628.0,5
159,3628.0,5,3691.41,3628.0,5
160,3628.0,5,3691.41,3628.0,5
161,3628.0,5,3691.25,3628.0,5
162,3628.0,5,3689.47,3628.0,5
163,3604.0,5,3687.52,3604.0,5
164,3604.0,5,3687.18,3604.0,5
165,3604.0,5,3686.03,3604.0,5
166,3604.0,5,3686.03,3604.0,5
167,3604.0,5,3685.11,3604.0,5
168,3602.0,5,3684.05,3602.0,5
169,3602.0,5,3683.61,3602.0,5
170,3602.0,5,3683.39,3602.0,5
171,3602.0,5,3682.81,3602.0,5
172,3586.0,5,3680.47,3586.0,5
173,3586.0,5,3680.09,3586.0,5
174,3586.0,5,3679.96,3586.0,5
175,3586.0,5,3679.91,3586.0,5
176,3586.0,5,3679.91,3586.0,5
177,3586.0,5,3678.64,3586.0,5
178,3586.0,5,3678.0,3586.0,5
179,3586.0,5,3677.92,3586.0,5
180,3586.0,5,3677.84,3586.0,5
181,3586.0,5,3677.71,3586.0,5
182,3586.0,5,3677.71,3586.0,5
183,3586.0,5,3677.39,3586.0,5
184,3586.0,5,3677.33,3586.0,5
185,3586.0,5,3677.25,3586.0,5
186,3586.0,5,3677.17,3586.0,5
187,3586.0,5,3677.17,3586.0,5
188,3586.0,5,3676.49,3586.0,5
189,3586.0,5,3676.47,3586.0,5
190,3586.0,5,3676.39,3586.0,5
191,3586.0,5,3675.91,3586.0,5
192,3586.0,5,3675.91,3586.0,5
193,3586.0,5,3675.83,3586.0,5
194,3586.0,5,3674.85,3586.0,5
195,3586.0,5,3674.13,3586.0,5
196,3586.0,5,3673.77,3586.0,5
197,3586.0,5,3673.77,3586.0,5
198,3586.0,5,3673.61,3586.0,5
199,3586.0,5,3673.21,3586.0,5
200,3586.0,5,3673.21,3586.0,5
201,3907.0,5,4559.02,3586.0,5
202,3907.0,5,4445.21,3586.0,5
203,3907.0,5,4427.58,3586.0,5
204,3907.0,5,4400.42,3586.0,5
205,3907.0,5,4235.28,3586.0,5
206,3889.0,5,4169.6,3586.0,5
207,3880.0,5,4137.76,3586.0,5
208,3880.0,5,4117.0,3586.0,5
209,3880.0,5,4088.95,3586.0,5
210,3880.0,5,4052.92,3586.0,5
211,3855.0,5,4033.76,3586.0,5
212,3855.0,5,4014.94,3586.0,5
213,3855.0,5,4004.63,3586.0,5
214,3855.0,5,3985.02,3586.0,5
